panel_code,n_neighbors,neighbor_codes
11110,7,"[11200, 11140, 11410, 11230, 11290, 11380, 41280]"
11140,6,"[11110, 11170, 11200, 11440, 11410, 11230]"
11170,7,"[11140, 11650, 11590, 11680, 11560, 11200, 11440]"
11200,6,"[11110, 11140, 11170, 11680, 11215, 11230]"
11215,7,"[11200, 11710, 11740, 11680, 11230, 11260, 41310]"
11230,6,"[11110, 11140, 11200, 11215, 11260, 11290]"
11260,5,"[11215, 11230, 11290, 11350, 41310]"
11290,6,"[11110, 11230, 11260, 11305, 41280, 11350]"
11305,5,"[11290, 41280, 11350, 11320, 41630]"
11320,4,"[11305, 11350, 41150, 41630]"
11350,7,"[11260, 11290, 11305, 11320, 41150, 41310, 41360]"
11380,4,"[11110, 11440, 11410, 41280]"
11410,4,"[11110, 11140, 11380, 11440]"
11440,7,"[11140, 11170, 11380, 11410, 11560, 11500, 41280]"
11470,4,"[11530, 11560, 41190, 11500]"
11500,7,"[11440, 11470, 11560, 41190, 28245, 41280, 41570]"
11530,7,"[11470, 41210, 11545, 11620, 11590, 11560, 41190]"
11545,4,"[11530, 41170, 41210, 11620]"
11560,7,"[11170, 11440, 11470, 11500, 11530, 11620, 11590]"
11590,5,"[11170, 11530, 11560, 11620, 11650]"
11620,7,"[11530, 11545, 11560, 11590, 41170, 41290, 11650]"
11650,6,"[11170, 11590, 11620, 41290, 41130, 11680]"
11680,6,"[11170, 11200, 11215, 11650, 41130, 11710]"
11710,5,"[11215, 11680, 41130, 41450, 11740]"
11740,5,"[11215, 11710, 41450, 41310, 41360]"
26110,3,"[26200, 26140, 26170]"
26140,5,"[26110, 26380, 26170, 26530, 26230]"
26170,4,"[26110, 26140, 26290, 26230]"
26200,1,[26110]
26230,7,"[26140, 26170, 26290, 26530, 26470, 26260, 26320]"
26260,6,"[26230, 26500, 26470, 26350, 26320, 26410]"
26290,4,"[26170, 26230, 26500, 26470]"
26320,7,"[26230, 26260, 26440, 26530, 26410, 48250, 48330]"
26350,4,"[26260, 26500, 26410, 26710]"
26380,3,"[26140, 26440, 26530]"
26410,5,"[26260, 26320, 26350, 26710, 48330]"
26440,5,"[26320, 26380, 26530, 48110, 48250]"
26470,4,"[26230, 26260, 26290, 26500]"
26500,4,"[26260, 26290, 26350, 26470]"
26530,5,"[26140, 26230, 26320, 26380, 26440]"
26710,4,"[26350, 26410, 48330, 31710]"
27110,6,"[27290, 27200, 27170, 27260, 27140, 27230]"
27140,7,"[27110, 27260, 47290, 27230, 47850, 47230, 27720]"
27170,4,"[27110, 27710, 27290, 27230]"
27200,4,"[27110, 27710, 27290, 27260]"
27230,5,"[27110, 27140, 27170, 27710, 47850]"
27260,5,"[27110, 27140, 27200, 27710, 47290]"
27290,5,"[27110, 27170, 27200, 47830, 27710]"
27710,11,"[27170, 27200, 27230, 27260, 27290, 48740, 47830, 47820, 47290, 47840, 47850]"
27720,6,"[27140, 47850, 47190, 47730, 47230, 47750]"
28110,3,"[28185, 28177, 28140]"
