Table 4-2. Network position and net migration: baseline panel estimates (2009-2024).
Variable,OLS,FE-M1,FE-M2,FE-M3,FE-M4
PageRank (t−1),1301.6*** (178.1),3639.3*** (631.1),3648.8*** (634.6),3761.9*** (647.2),3111.1** (1552.8)
PageRank (t−1) × COVID,—,—,—,-377.7** (189.8),-391.3** (193.5)
PageRank (t−1) × Metro,—,—,—,—,790.3 (1664.8)
ln pop. density,-3.80*** (0.292),—,-22.74* (12.41),-22.66* (12.48),-22.41* (12.51)
Youth ratio,-0.532*** (0.112),—,2.11*** (0.442),2.16*** (0.444),2.18*** (0.446)
Aging ratio,-0.490*** (0.071),—,0.107 (0.597),0.080 (0.596),0.059 (0.586)
Fiscal independence,0.290*** (0.040),—,0.080 (0.107),0.065 (0.107),0.062 (0.110)
"Doctors per 1,000",-0.140 (0.162),—,-0.410 (1.04),-0.224 (1.03),-0.231 (1.04)
Fertility,2.95** (1.47),—,7.31** (3.47),7.19** (3.43),7.47** (3.47)
Cultural facilities,-0.261*** (0.049),—,-0.225 (0.233),-0.168 (0.231),-0.171 (0.233)
"Childcare per 1,000",-0.232*** (0.077),—,-0.947*** (0.279),-0.963*** (0.280),-0.953*** (0.276)
Distance to Seoul (km),-0.0086*** (0.0032),—,—,—,—
COVID period (2020–2022),2.99*** (0.800),—,—,—,—
Municipality FE / Year FE,— / —,✓ / ✓,✓ / ✓,✓ / ✓,✓ / ✓
N,"3,568","3,568","3,568","3,568","3,568"
R²,0.144,0.027,0.089,0.091,0.091
