"Table S1. Annual network topology and concentration indicators, 2008-2025."
Year,Density,Reciprocity,Avg path length,Avg clustering,Top-20 in-str. (%),Top-10% PR (%),HHI (×10⁻³),Freeman (×10⁻⁴),SD PR (×10⁻³)
2008,0.933,0.964,1.034,0.971,29.4,28.4,7.29,5.94,3.58
2009,0.933,0.964,1.033,0.971,29.6,28.5,7.33,5.94,3.60
2010,0.933,0.964,1.033,0.971,28.5,27.5,7.17,5.96,3.51
2011,0.931,0.962,1.034,0.970,28.1,27.2,7.05,6.13,3.43
2012,0.930,0.961,1.034,0.971,28.6,27.5,7.14,6.25,3.49
2013,0.929,0.962,1.036,0.969,28.6,27.4,7.12,6.31,3.48
2014,0.931,0.962,1.033,0.971,28.2,27.2,7.06,6.12,3.44
2015,0.932,0.962,1.032,0.972,28.6,27.4,7.07,6.03,3.44
2016,0.930,0.960,1.033,0.971,28.5,27.4,7.11,6.22,3.47
2017,0.929,0.960,1.034,0.970,28.5,27.7,7.18,6.32,3.51
2018,0.928,0.960,1.035,0.969,30.2,29.2,7.56,6.43,3.75
2019,0.926,0.959,1.035,0.969,29.8,28.9,7.57,6.54,3.75
2020,0.927,0.960,1.036,0.969,29.4,28.7,7.43,6.52,3.67
2021,0.926,0.958,1.036,0.969,29.1,28.2,7.32,6.58,3.60
2022,0.918,0.955,1.041,0.965,29.2,28.2,7.25,7.30,3.56
2023,0.915,0.954,1.042,0.964,30.0,28.6,7.41,7.50,3.65
2024,0.913,0.955,1.045,0.962,29.3,28.0,7.33,7.67,3.61
2025,0.920,0.954,1.038,0.967,29.5,28.0,7.23,7.12,3.54
