"Table S2. Annual Louvain community structure, 2008-2025."
Year,Communities,Modularity (Q),Largest (n),Community sizes (descending)
2008,9,0.4256,43,"43, 42, 31, 31, 27, 20, 17, 16, 2"
2009,8,0.4252,42,"42, 39, 39, 31, 31, 19, 16, 12"
2010,9,0.4205,42,"42, 39, 39, 31, 31, 17, 16, 12, 2"
2011,9,0.4184,42,"42, 39, 31, 31, 31, 20, 17, 16, 2"
2012,9,0.4103,42,"42, 39, 39, 31, 31, 17, 16, 12, 2"
2013,9,0.4157,41,"41, 39, 39, 32, 31, 17, 16, 12, 2"
2014,8,0.4212,42,"42, 39, 39, 35, 31, 29, 12, 2"
2015,9,0.4226,42,"42, 39, 39, 31, 29, 19, 16, 12, 2"
2016,9,0.4142,42,"42, 39, 39, 31, 29, 19, 16, 12, 2"
2017,9,0.4147,44,"44, 41, 32, 31, 26, 22, 19, 12, 2"
2018,9,0.4165,42,"42, 39, 33, 31, 29, 19, 19, 15, 2"
2019,9,0.4169,42,"42, 39, 39, 31, 31, 17, 15, 13, 2"
2020,9,0.4177,41,"41, 39, 32, 31, 31, 22, 19, 12, 2"
2021,8,0.4095,41,"41, 39, 39, 31, 30, 21, 15, 13"
2022,9,0.4022,41,"41, 39, 39, 31, 30, 19, 16, 12, 2"
2023,9,0.4042,41,"41, 39, 39, 31, 30, 19, 15, 13, 2"
2024,9,0.4075,41,"41, 39, 39, 31, 30, 19, 16, 12, 2"
2025,8,0.4002,42,"42, 39, 39, 31, 31, 19, 16, 12"
