"Table S3. Annual hub-stability indicators relative to the 2008 baseline, 2008-2025."
Year,Jaccard similarity (top-20 vs. 2008),Kendall's τ (2008 top-20 hubs),Kendall's τ (all municipalities vs. 2008)
2008,1.000,1.000,1.000
2009,0.739,0.600,0.935
2010,0.667,0.463,0.916
2011,0.739,0.589,0.899
2012,0.600,0.516,0.900
2013,0.600,0.453,0.883
2014,0.600,0.484,0.880
2015,0.667,0.547,0.864
2016,0.600,0.632,0.857
2017,0.600,0.632,0.843
2018,0.481,0.537,0.841
2019,0.538,0.579,0.837
2020,0.538,0.558,0.841
2021,0.538,0.579,0.842
2022,0.538,0.526,0.848
2023,0.538,0.579,0.843
2024,0.481,0.516,0.848
2025,0.429,0.526,0.835
