year,region_code,cluster
2008,11110,HL
2008,11140,LL
2008,11170,HL
2008,11200,NS
2008,11215,NS
2008,11230,NS
2008,11260,NS
2008,11290,NS
2008,11305,NS
2008,11320,NS
2008,11350,NS
2008,11380,NS
2008,11410,NS
2008,11440,NS
2008,11470,NS
2008,11500,NS
2008,11530,NS
2008,11545,NS
2008,11560,NS
2008,11590,NS
2008,11620,NS
2008,11650,NS
2008,11680,NS
2008,11710,NS
2008,11740,HH
2008,26110,NS
2008,26140,NS
2008,26170,NS
2008,26200,NS
2008,26230,NS
2008,26260,NS
2008,26290,NS
2008,26320,NS
2008,26350,NS
2008,26380,NS
2008,26410,NS
2008,26440,NS
2008,26470,NS
2008,26500,NS
2008,26530,NS
2008,26710,NS
2008,27110,NS
2008,27140,NS
2008,27170,NS
2008,27200,NS
2008,27230,NS
2008,27260,NS
2008,27290,NS
2008,27710,NS
2008,27720,NS
2008,28110,NS
2008,28140,NS
2008,28177,NS
2008,28185,NS
2008,28200,NS
2008,28237,NS
2008,28245,NS
2008,28260,NS
2008,28710,HH
2008,28720,NS
2008,29110,NS
2008,29140,NS
2008,29155,NS
2008,29170,HL
2008,29200,NS
2008,30110,NS
2008,30140,NS
2008,30170,NS
2008,30200,NS
2008,30230,NS
2008,31110,LH
2008,31140,NS
2008,31170,NS
2008,31200,NS
2008,31710,NS
2008,36110,NS
2008,41110,LH
2008,41130,LH
2008,41150,NS
2008,41170,NS
2008,41190,NS
2008,41210,NS
2008,41220,HH
2008,41250,NS
2008,41270,LH
2008,41280,NS
2008,41290,NS
2008,41310,NS
2008,41360,HH
2008,41370,HH
2008,41390,NS
2008,41410,NS
2008,41430,NS
2008,41450,NS
2008,41460,HH
2008,41480,NS
2008,41500,NS
2008,41550,NS
2008,41570,NS
2008,41590,NS
2008,41610,NS
2008,41630,NS
2008,41650,HH
2008,41670,NS
2008,41800,NS
2008,41820,HH
2008,41830,NS
2008,43110,NS
2008,43130,NS
2008,43150,NS
2008,43720,NS
2008,43730,NS
2008,43740,NS
2008,43745,NS
2008,43750,NS
2008,43760,NS
2008,43770,NS
2008,43800,NS
2008,44130,NS
2008,44150,LH
2008,44180,NS
2008,44200,NS
2008,44210,NS
2008,44230,NS
2008,44250,NS
2008,44270,HH
2008,44710,NS
2008,44760,NS
2008,44770,NS
2008,44790,NS
2008,44800,NS
2008,44810,NS
2008,44825,NS
2008,46110,NS
2008,46130,NS
2008,46150,NS
2008,46170,NS
2008,46230,NS
2008,46710,NS
2008,46720,LL
2008,46730,NS
2008,46770,NS
2008,46780,NS
2008,46790,LL
2008,46800,NS
2008,46810,NS
2008,46820,NS
2008,46830,NS
2008,46840,NS
2008,46860,NS
2008,46870,NS
2008,46880,NS
2008,46890,NS
2008,46900,NS
2008,46910,HH
2008,47110,NS
2008,47130,NS
2008,47150,NS
2008,47170,NS
2008,47190,NS
2008,47210,NS
2008,47230,NS
2008,47250,NS
2008,47280,NS
2008,47290,NS
2008,47730,NS
2008,47750,NS
2008,47760,NS
2008,47770,NS
2008,47820,NS
2008,47830,NS
2008,47840,NS
2008,47850,NS
2008,47900,NS
2008,47920,NS
2008,47930,NS
2008,47940,NS
