year,moran_I,E_I,p_sim
2008,0.1059028959578336,-0.0043859649122807,0.0088
2009,0.0538835989848403,-0.0043859649122807,0.0919
2010,0.1235624265680951,-0.0043859649122807,0.0064
2011,0.1469675115288138,-0.0043859649122807,0.0012
2012,0.1258051528343491,-0.0043859649122807,0.0041
2013,0.0980794699705296,-0.0043859649122807,0.0134
2014,0.0598575497607393,-0.0043859649122807,0.0621
2015,0.034172776366907,-0.0043859649122807,0.1503
2016,0.0765190827026589,-0.0043859649122807,0.0362
2017,0.0916485113247038,-0.0043859649122807,0.0184
2018,0.0905222196295726,-0.0043859649122807,0.021
2019,0.0829677220111838,-0.0043859649122807,0.0266
2020,0.046982623512444,-0.0043859649122807,0.1226
2021,0.1236976952641746,-0.0043859649122807,0.0055
2022,-0.0554574313848084,-0.0043859649122807,0.1111
2023,0.0030204450081277,-0.0043859649122807,0.4073
2024,0.0849147821983431,-0.0043859649122807,0.0302
2025,0.0567927111434305,-0.0043859649122807,0.0853
