model,variable,coef,se,p
OLS,pagerank_lag1,1301.6372793219257,178.1212156698441,2.719708757440221e-13
OLS,ln_pop_density,-3.8035860288722434,0.2920569899070211,9.002476954182743e-39
OLS,youth_ratio,-0.5324142702462064,0.1123649215753612,2.1556058905516503e-06
OLS,aging_ratio,-0.4896555770167958,0.0712679164038437,6.391840188312675e-12
OLS,fiscal_indep,0.2899110631025129,0.0401279734660363,5.023480327996326e-13
OLS,doctor_per1000,-0.1402783300908018,0.1622326131070076,0.3872177181413908
OLS,fertility,2.954203681189826,1.467242964852684,0.044068503943913
OLS,culture_facility_count,-0.2612540680031542,0.0490403293170784,9.966642383213037e-08
OLS,childcare_pk,-0.2321435202232993,0.077203691872289,0.0026392950245674
OLS,seoul_dist_km,-0.008613590693129,0.0032490407663703,0.0080225790166202
OLS,covid_dummy,2.988755737263376,0.8002707557653216,0.0001879535072285
OLS,_N,3568.0,,
OLS,_R2,0.1438785196252354,,
FE-M1,pagerank_lag1,3639.331508596904,631.0776985133615,8.814432073123157e-09
FE-M1,_N,3568.0,,
FE-M1,_R2,0.0270197282909543,,
FE-M2,pagerank_lag1,3648.810202787355,634.6202105837472,9.755049212856193e-09
FE-M2,ln_pop_density,-22.74245616923442,12.414383981278382,0.0670492772178441
FE-M2,youth_ratio,2.1092001941946923,0.4422960528484616,1.93343402976609e-06
FE-M2,aging_ratio,0.1074045991895841,0.5969471019216598,0.8572238827813703
FE-M2,fiscal_indep,0.0795428877688666,0.1067482834902889,0.4562371480231149
FE-M2,doctor_per1000,-0.4096090754215174,1.0425784177565844,0.6944327159162511
FE-M2,fertility,7.311400308185223,3.4718822528327644,0.0352888274025608
FE-M2,culture_facility_count,-0.2250858061948221,0.2330318360855443,0.3341637892149922
FE-M2,childcare_pk,-0.947379657855076,0.278661145238762,0.0006824184632394
FE-M2,_N,3568.0,,
FE-M2,_R2,0.0894010370799986,,
FE-M3,pagerank_lag1,3761.945773097784,647.1525308534189,6.713952505066345e-09
FE-M3,ln_pop_density,-22.6604412200862,12.475642919503665,0.0694030689255871
FE-M3,youth_ratio,2.1622516136221672,0.4438835652746357,1.1610160639552447e-06
FE-M3,aging_ratio,0.0798314921199435,0.5963365560591677,0.8935135967539598
FE-M3,fiscal_indep,0.0652491852027556,0.1068808830330182,0.5415823058316311
FE-M3,doctor_per1000,-0.2242085705003655,1.032448742283908,0.8280954892145538
FE-M3,fertility,7.19104651254544,3.431183025708508,0.0361761714990709
FE-M3,culture_facility_count,-0.1678715713362291,0.231413221494018,0.4682460855074064
FE-M3,childcare_pk,-0.9625197020294264,0.280214038656188,0.000599942723517
FE-M3,prl_x_covid,-377.6744489828047,189.7828626028303,0.046669018301404
FE-M3,_N,3568.0,,
FE-M3,_R2,0.0906594623884134,,
FE-M4,pagerank_lag1,3111.144586707965,1552.8476955324393,0.0452038127823377
FE-M4,ln_pop_density,-22.41236478695637,12.507446122097829,0.0732365612515935
FE-M4,youth_ratio,2.1828626120684858,0.4461869028383712,1.0442693516576895e-06
FE-M4,aging_ratio,0.0594333578632052,0.5862735560802412,0.919259072500198
FE-M4,fiscal_indep,0.0617161533089038,0.1103045363617905,0.5758535517796299
FE-M4,doctor_per1000,-0.2313915051928955,1.039880082698492,0.8239247516853938
FE-M4,fertility,7.474936395798805,3.472566838097375,0.0314245157510881
FE-M4,culture_facility_count,-0.171217453637931,0.2326517178625657,0.461819877184721
FE-M4,childcare_pk,-0.9527407009936696,0.2761896767643614,0.0005684391855043
FE-M4,prl_x_covid,-391.2673188261702,193.54869015367785,0.0433035191034583
FE-M4,prl_x_metro,790.2607341951798,1664.7903689609332,0.6350385808294639
FE-M4,_N,3568.0,,
FE-M4,_R2,0.0908460298973723,,
LSDV,net_rate_lag1,0.4429866765402837,0.0474444895434621,0.0
LSDV,pagerank_lag1,-2658.184573299107,902.1353463196746,0.0032357931914601
LSDV,ln_pop_density,0.2912671709917751,10.20827124480924,0.9772391878840664
LSDV,youth_ratio,1.479988898392188,0.3811138469814236,0.0001050446474795
LSDV,aging_ratio,0.1905515167045761,0.4465070504573078,0.6695815407579535
LSDV,fiscal_indep,0.0972608466767258,0.0855564036337842,0.255702348582101
LSDV,doctor_per1000,-0.3223977758863355,0.8077598716268732,0.6898262100240564
LSDV,fertility,1.6044075714782369,2.2353939387690214,0.4729747537764044
LSDV,culture_facility_count,-0.0663073574218677,0.1928004007173704,0.7309304001590364
LSDV,childcare_pk,-0.5855471893308578,0.181537511112856,0.0012697808358346
LSDV,_N,3568.0,,
LSDV,_R2,0.2245672563797695,,
